parameter	device	para_value	cpu utils	tuning actions	disk utils	stall duration	qps
idle_rate	NVMe SSD	0.25	256.33	65.33	847.29	235.41	147079.0
idle_rate	NVMe SSD	0.5	247.5	64.0	796.33	262.62	138059.67
idle_rate	NVMe SSD	0.75	244.62	65.67	777.54	261.53	137562.33
idle_rate	NVMe SSD	1	242.76	65.33	801.14	258.05	140235.33
idle_rate	NVMe SSD	1.25	246.79	64.33	814.18	253.91	141879.67
idle_rate	NVMe SSD	1.5	241.46	64.33	796.77	254.16	139371.67
idle_rate	NVMe SSD	1.75	247.09	66.0	780.47	256.18	137711.0
idle_rate	NVMe SSD	2	243.48	67.0	808.69	246.68	142372.33
idle_rate	PM	0.25	485.6	16.33	1557.45	48.24	225755.0
idle_rate	PM	0.5	471.7	19.33	1521.0	58.43	222030.67
idle_rate	PM	0.75	459.14	20.67	1510.02	67.41	220171.0
idle_rate	PM	1	485.29	19.33	1560.65	52.93	224124.67
idle_rate	PM	1.25	476.97	18.67	1541.87	51.83	222786.33
idle_rate	PM	1.5	476.64	17.0	1555.73	47.44	226719.0
idle_rate	PM	1.75	451.0	24.67	1469.95	70.21	217982.67
idle_rate	PM	2	483.78	16.0	1570.62	39.15	228294.33
idle_rate	SATA HDD	0.25	43.57	43.33	85.29	509.89	26471.0
idle_rate	SATA HDD	0.5	56.29	55.0	106.27	486.75	31021.33
idle_rate	SATA HDD	0.75	63.96	47.33	123.6	503.83	34727.33
idle_rate	SATA HDD	1	59.06	45.0	116.36	502.05	33115.33
idle_rate	SATA HDD	1.25	55.48	45.0	108.32	511.97	30568.33
idle_rate	SATA HDD	1.5	52.36	40.0	100.91	497.82	29040.67
idle_rate	SATA HDD	1.75	45.31	42.67	91.2	517.04	27370.67
idle_rate	SATA HDD	2	44.46	52.33	86.82	520.4	25675.33
idle_rate	SATA SSD	0.25	188.85	67.67	375.51	407.55	80045.0
idle_rate	SATA SSD	0.5	182.48	74.0	355.12	419.87	73833.33
idle_rate	SATA SSD	0.75	179.08	76.0	356.41	414.92	78459.0
idle_rate	SATA SSD	1	173.64	80.0	348.55	410.17	77332.67
idle_rate	SATA SSD	1.25	177.61	71.0	351.67	418.12	77931.33
idle_rate	SATA SSD	1.5	171.85	70.67	342.06	418.59	75332.0
idle_rate	SATA SSD	1.75	175.92	70.0	342.14	416.09	75080.33
idle_rate	SATA SSD	2	174.97	73.33	343.65	405.55	77199.0
slow_flush	NVMe SSD	0.1	240.65	53.33	849.26	221.98	156789.33
slow_flush	NVMe SSD	0.3	244.86	54.0	845.21	215.44	156508.33
slow_flush	NVMe SSD	0.5	242.69	55.67	858.6	218.85	155963.33
slow_flush	NVMe SSD	0.7	229.31	58.33	821.26	227.95	154930.0
slow_flush	NVMe SSD	0.9	244.46	61.67	865.06	206.56	162483.33
slow_flush	PM	0.1	436.85	22.33	1466.08	61.1	221082.33
slow_flush	PM	0.3	382.18	32.67	1312.34	123.42	199276.0
slow_flush	PM	0.5	433.89	23.33	1462.87	72.97	217646.33
slow_flush	PM	0.7	413.83	26.67	1409.3	82.02	214200.0
slow_flush	PM	0.9	401.54	34.67	1374.29	101.17	207913.33
slow_flush	SATA HDD	0.1	65.48	61.33	125.95	465.12	42392.33
slow_flush	SATA HDD	0.3	63.84	64.33	127.36	456.86	43278.33
slow_flush	SATA HDD	0.5	58.39	47.0	119.19	488.12	38659.67
slow_flush	SATA HDD	0.7	52.99	54.0	108.46	512.18	34677.67
slow_flush	SATA HDD	0.9	48.37	62.67	99.16	503.32	33529.67
slow_flush	SATA SSD	0.1	158.37	89.67	334.98	382.63	89194.33
slow_flush	SATA SSD	0.3	164.14	95.33	353.32	380.89	92676.33
slow_flush	SATA SSD	0.5	167.07	89.0	356.56	372.69	93888.33
slow_flush	SATA SSD	0.7	166.01	84.67	357.91	375.18	92198.67
slow_flush	SATA SSD	0.9	169.86	88.67	363.01	376.66	93812.67
time_window	NVMe SSD	1	339.31	38.0	1336.95	111.0	209012.0
time_window	NVMe SSD	12	217.88	5.0	701.61	279.22	152803.0
time_window	NVMe SSD	16	196.07	6.0	673.54	326.56	132397.0
time_window	NVMe SSD	2	262.62	46.0	982.63	231.47	163296.0
time_window	NVMe SSD	4	219.45	20.0	775.94	267.57	151149.0
time_window	NVMe SSD	8	211.25	9.0	705.77	278.06	145847.0
time_window	PM	1	443.52	25.0	1447.55	74.14	218567.0
time_window	PM	12	277.73	7.0	769.92	248.28	168176.0
time_window	PM	16	272.02	6.0	736.52	280.32	155059.0
time_window	PM	2	326.2	22.0	1067.22	198.35	178597.0
time_window	PM	4	276.48	12.0	778.43	226.31	171803.0
time_window	PM	8	261.6	5.0	739.89	294.48	147449.0
time_window	SATA HDD	1	58.46	43.0	117.32	511.15	31664.0
time_window	SATA HDD	12	41.22	13.0	85.14	618.03	21062.0
time_window	SATA HDD	16	62.87	13.0	132.64	526.62	31388.0
time_window	SATA HDD	2	56.7	33.0	115.28	528.01	32493.0
time_window	SATA HDD	4	52.59	26.0	108.47	518.0	31864.0
time_window	SATA HDD	8	47.92	13.0	98.44	543.37	25775.0
time_window	SATA SSD	1	200.71	79.0	406.81	383.15	88516.0
time_window	SATA SSD	12	147.59	11.0	335.96	443.19	80794.0
time_window	SATA SSD	16	126.07	11.0	308.65	455.69	64465.0
time_window	SATA SSD	2	185.93	54.0	380.06	403.02	82164.0
time_window	SATA SSD	4	163.79	35.0	363.62	422.83	77323.0
time_window	SATA SSD	8	157.04	16.0	358.28	426.4	78547.0
