cpu utils	cpu utils err 0	cpu utils err 1	cpu utils err 2	device	disk utils	disk utils err 0	disk utils err 1	disk utils err 2	para_value	parameter	qps	qps err 0	qps err 1	qps err 2	stall duration	stall duration err 0	stall duration err 1	stall duration err 2	tuning actions	tuning actions err 0	tuning actions err 1	tuning actions err 2
240.65	-6.14	0.94	5.2	NVMe SSD	849.26	-23.83	22.3	1.54	0.1	slow_flush	156789.33	9.67	-3151.33	3141.67	221.98	1.66	4.09	-5.75	53.33	5.67	1.67	-7.33
244.46	-3.9	2.48	2.63	NVMe SSD	865.06	-33.14	-2.77	-23.64	0.3	slow_flush	162483.33	-5316.33	-7974.33	-4634.33	206.56	7.8	15.59	3.25	61.67	-5.67	-5.67	-11.67
413.83	-175.34	-169.38	-168.7	NVMe SSD	1409.3	-575.57	-537.91	-538.61	0.5	slow_flush	214200.0	-65596.0	-56916.0	-52198.0	82.02	158.68	133.38	118.43	26.67	29.33	27.33	30.33
58.39	172.42	167.19	173.16	NVMe SSD	119.19	695.03	699.36	711.81	0.7	slow_flush	38659.67	111356.33	110386.33	127068.33	488.12	-247.06	-248.82	-284.64	47.0	12.0	7.0	15.0
164.14	69.13	83.49	88.35	NVMe SSD	353.32	473.79	533.94	527.5	0.9	slow_flush	92676.33	78392.67	63380.67	67647.67	380.89	-190.5	-166.91	-165.58	95.33	-39.33	-25.33	-36.33
244.86	160.21	202.46	213.3	PM	845.21	529.61	661.04	671.96	0.1	slow_flush	156508.33	58958.67	67439.67	67323.67	215.44	-138.1	-154.99	-169.92	54.0	-25.0	-35.0	-35.0
436.85	-72.99	4.43	-95.45	PM	1466.08	-203.14	24.42	-282.51	0.3	slow_flush	221082.33	-29695.33	-1066.33	-34657.33	61.1	82.57	11.64	92.75	22.33	18.67	-2.33	14.67
401.54	40.17	46.02	10.87	PM	1374.29	107.59	127.7	30.45	0.5	slow_flush	207913.33	14392.67	14176.67	629.67	101.17	-38.66	-44.05	-1.88	34.67	-15.67	-16.67	-1.67
52.99	373.66	358.79	350.06	PM	108.46	1320.52	1303.65	1278.36	0.7	slow_flush	34677.67	182531.33	180944.33	175091.33	512.18	-447.25	-431.48	-411.74	54.0	-33.0	-28.0	-21.0
167.07	205.45	259.21	238.75	PM	356.56	948.23	1080.28	1024.68	0.9	slow_flush	93888.33	103743.67	122589.67	115741.67	372.69	-241.66	-297.01	-275.9	89.0	-45.0	-63.0	-55.0
242.69	-174.82	-178.32	-178.5	SATA HDD	858.6	-726.11	-739.18	-732.66	0.1	slow_flush	155963.33	-113078.33	-112034.33	-115600.33	218.85	243.1	242.61	253.11	55.67	6.33	0.33	10.33
382.18	-318.74	-317.66	-318.61	SATA HDD	1312.34	-1187.61	-1183.86	-1183.47	0.3	slow_flush	199276.0	-155923.0	-156868.0	-155202.0	123.42	339.71	344.13	316.47	32.67	24.33	25.33	45.33
65.48	-6.64	-6.88	-7.75	SATA HDD	125.95	-11.4	-6.5	-2.38	0.5	slow_flush	42392.33	-2079.33	-3217.33	-5901.33	465.12	19.0	-3.02	53.01	61.33	-7.33	-12.33	-23.33
48.37	3.07	3.41	7.37	SATA HDD	99.16	4.79	13.69	9.41	0.7	slow_flush	33529.67	2682.33	-662.67	1424.33	503.32	-20.38	11.74	35.22	62.67	-1.67	-13.67	-10.67
166.01	-121.32	-115.41	-116.2	SATA HDD	357.91	-265.85	-255.95	-254.46	0.9	slow_flush	92198.67	-60479.67	-54891.67	-60635.67	375.18	154.3	90.66	139.47	84.67	-28.67	-9.67	-27.67
229.31	-71.04	-71.37	-70.41	SATA SSD	821.26	-490.15	-479.4	-489.29	0.1	slow_flush	154930.0	-67926.0	-61281.0	-68000.0	227.95	160.58	144.01	159.44	58.33	24.67	26.67	42.67
433.89	-274.39	-262.91	-271.94	SATA SSD	1462.87	-1117.03	-1097.42	-1114.21	0.3	slow_flush	217646.33	-129287.33	-123025.33	-122597.33	72.97	327.92	302.51	293.32	23.33	62.67	79.67	73.67
63.84	104.29	103.95	101.44	SATA SSD	127.36	224.25	228.16	235.18	0.5	slow_flush	43278.33	46259.67	54594.67	50975.67	456.86	-76.74	-89.65	-86.11	64.33	16.67	32.67	24.67
158.37	9.25	3.56	10.12	SATA SSD	334.98	26.63	22.96	19.21	0.7	slow_flush	89194.33	4518.67	3428.67	1065.67	382.63	-12.28	-4.6	-5.48	89.67	0.33	-6.67	-8.67
169.86	2.34	-0.15	-2.2	SATA SSD	363.01	-7.71	6.02	1.7	0.9	slow_flush	93812.67	-3367.67	3579.33	-211.67	376.66	8.45	-11.71	3.27	88.67	-2.67	-0.67	3.33
