group	device	total size	flush size	l0 size
RocksDB-AT	NVMe SSD	59.0	160.704	0.31
RocksDB-AT	PM	59.51	173.804	0.74
RocksDB-AT	SATA HDD	36.77	50.493	1.54
RocksDB-AT	SATA SSD	54.83	108.366	1.29
SILK-P	NVMe SSD	63.25	187.422	1.68
SILK-P	PM	64.11	236.78	1.08
SILK-P	SATA HDD	27.99	38.187	0.6
SILK-P	SATA SSD	56.08	104.579	0.24
SILK-O	NVMe SSD	76.02	280.646	1.91
SILK-O	PM	75.47	436.896	3.77
SILK-O	SATA HDD	47.33	74.882	7.07
SILK-O	SATA SSD	72.47	179.445	2.87
FEAT	NVMe SSD	59.81	412.292	6.88
FEAT	PM	76.31	729.228	6.88
FEAT	SATA HDD	56.5	114.975	6.88
FEAT	SATA SSD	59.09	262.935	3.44
