group	device	workload	qps	rss	disk	avg_cpu
ADOC	NVMe SSD	Feat	95380	1.9513578093214756	593.1826998616874	219.2716754948425
ADOC	PM	Feat	232453	1.884170337144768	1739.746405772967	535.6267648693719
ADOC	SATA HDD	Feat	21504	1.4057041920979818	94.46561137692717	47.007039999999996
ADOC	SATA SSD	Feat	56733	1.6816695802483694	289.6001985659128	152.92206572769953
ADOC-T	NVMe SSD	Tea	72492	0.9620648504004563	705.4592448639645	239.29495939512742
ADOC-T	PM	Tea	231023	1.1369651474155982	2635.2013718411554	963.4326105087572
ADOC-T	SATA HDD	Tea	9707	0.4873653991970712	87.25461538461538	47.49274395329441
ADOC-T	SATA SSD	Tea	28881	0.7192583735422052	262.11947674418604	140.66451971127154
ADOC-B	NVMe SSD	Fea	58098	1.2183037806103503	446.2234972222222	114.25051690416318
ADOC-B	PM	Fea	74121	0.6130732620120446	665.797560399889	178.19816462736375
ADOC-B	SATA HDD	Fea	21996	1.1091388618189983	112.31008871638481	35.423246716960044
ADOC-B	SATA SSD	Fea	39081	1.0648640760829977	256.87918611111115	76.62129139994435
